stock_code,year,close_yearend,close_m01,close_m02,close_m03,close_m04,close_m05,close_m06,close_m07,close_m08,close_m09,close_m10,close_m11,close_m12,shares,market_cap,momentum_12m,volatility_annual
2460,2021,12600.0,11350.0,11400.0,12200.0,13100.0,13150.0,14050.0,12900.0,12850.0,14300.0,13400.0,11150.0,12600.0,10150000.0,127890000000.0,0.1101321585903083,0.3129920039578991
2600,2021,188000.0,170000.0,174500.0,178500.0,187500.0,196000.0,200000.0,192000.0,196500.0,192500.0,207000.0,186000.0,188000.0,600000.0,112800000000.0,0.1058823529411765,0.1687083584587039
2620,2021,16000.0,19150.0,18650.0,17900.0,24550.0,24600.0,25450.0,21300.0,19900.0,18300.0,17400.0,15100.0,16000.0,15973355.0,255573680000.0,-0.164490861618799,0.4918669530173529
2630,2021,1220.0,2050.0,1755.0,1580.0,1510.0,1655.0,1525.0,1270.0,1250.0,1410.0,1335.0,1120.0,1220.0,118583005.0,144671266100.0,-0.4048780487804878,0.3647957280622226
2680,2021,1244.0,2740.0,2301.0,1699.0,1536.0,1782.0,1778.0,1699.0,1570.0,1383.0,1353.0,1225.0,1244.0,32316799.0,40202097956.0,-0.545985401459854,0.3730998519827933
2710,2021,9680.0,5000.0,4650.0,4510.0,5510.0,4725.0,4890.0,6370.0,7830.0,8800.0,8360.0,6500.0,9680.0,26213697.0,253748586960.0,0.936,0.7396185809024732
2720,2021,5605.0,7588.0,7439.0,6910.0,6855.0,6362.0,7221.0,6454.0,7467.0,6316.0,5487.0,4418.0,5605.0,21159832.0,118600858360.0,-0.261333684765419,0.5049150186955587
2790,2021,44350.0,58900.0,64700.0,64900.0,73500.0,77700.0,64000.0,57600.0,57800.0,49050.0,49600.0,41250.0,44350.0,76458180.0,3390920283000.0,-0.2470288624787776,0.3864617514838285
2800,2021,6450.0,8410.0,8100.0,7800.0,8220.0,8330.0,8800.0,8390.0,7920.0,7730.0,7120.0,6000.0,6450.0,15170500.0,97849725000.0,-0.2330558858501783,0.2357658295708066
2810,2021,14450.0,13600.0,14000.0,15000.0,16950.0,16650.0,17000.0,16300.0,15900.0,15500.0,15550.0,14000.0,14450.0,18466948.0,266847398600.0,0.0625,0.2106137660227893
2820,2021,5000.0,4505.0,4475.0,4675.0,6920.0,6200.0,6130.0,6420.0,5830.0,5380.0,5690.0,4470.0,5000.0,12607989.0,63039945000.0,0.1098779134295226,0.6179597184416895
2840,2021,203500.0,131500.0,151000.0,188500.0,216500.0,213500.0,217000.0,210000.0,204000.0,210000.0,207500.0,205000.0,203500.0,4750000.0,966625000000.0,0.5475285171102662,0.3247140272655616
2870,2021,2215.0,2905.0,2850.0,4010.0,3505.0,3320.0,3465.0,3195.0,2770.0,2450.0,2620.0,2080.0,2215.0,34958700.0,77433520500.0,-0.2375215146299484,0.5726530622503827
2880,2021,4544.0,3719.0,3754.0,3807.0,4369.0,4053.0,5053.0,4842.0,4527.0,6211.0,6299.0,4369.0,4544.0,46773995.0,212541033280.0,0.2218338262973918,0.6163158111608322
2900,2021,5969.0,4954.0,5326.0,5715.0,5580.0,5648.0,7305.0,7119.0,7322.0,7981.0,6865.0,5326.0,5969.0,41400000.0,247116600000.0,0.2048849414614453,0.4706316068685192
